exp,phi_0,dV_ges,eps_0,V_dis,lambda,H_DPZ,L_DPZ,dpz_flooded,rho_c,rho_d,eta_c,etc_d,sigma,r_S_star,h_p_star
ye,0.00026,160,0.2,0.000962957,-1.0,0.0179,0.4315,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000281,160,0.2,0.000540685,-1.0,0.0125,0.3454,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000307,160,0.2,0.000573562,-1.0,0.0135,0.3395,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.00037,160,0.2,0.001609114,-1.0,0.0376,0.3542,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000431,160,0.2,0.002022104,-1.0,0.0463,0.3698,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000532,160,0.2,0.001858317,-1.0,0.0459,0.3424,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000689,160,0.2,0.001541461,-1.0,0.0442,0.2935,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.001281,160,0.2,0.001203053,-1.0,0.0438,0.2309,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.00018,160,0.2,-1.0,0.995721925,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.0002,160,0.2,-1.0,0.995721925,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.00025,160,0.2,-1.0,0.995721925,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.0003,160,0.2,-1.0,0.996256684,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.00035,160,0.2,-1.0,0.996256684,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000252,200,0.2,0.000227729,-1.0,0.00358,0.506,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000283,200,0.2,0.001347741,-1.0,0.0218,0.498,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000325,200,0.2,0.00148168,-1.0,0.0267,0.45,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000383,200,0.2,0.001582353,-1.0,0.03,0.43,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000464,200,0.2,0.001264077,-1.0,0.0313,0.33,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000584,200,0.2,0.001750109,-1.0,0.0399,0.365,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000788,200,0.2,0.001238571,-1.0,0.0371,0.276,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.001095,200,0.2,0.000911668,-1.0,0.0313,0.238,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.0015,200,0.2,0.000456934,-1.0,0.0203,0.181,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.00018,200,0.2,-1.0,0.950802139,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.0002,200,0.2,-1.0,0.989304813,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.00025,200,0.2,-1.0,0.993582888,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.0003,200,0.2,-1.0,0.995187166,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.00035,200,0.2,-1.0,0.997326203,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.00018,200,0.1,-1.0,0.962433862,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000271,240,0.2,0.000569436,-1.0,0.0081,0.56,True,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000298,240,0.2,0.001764112,-1.0,0.0255,0.56,True,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000343,240,0.2,0.002781583,-1.0,0.0415,0.56,True,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000404,240,0.2,0.003124384,-1.0,0.0474,0.56,True,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000503,240,0.2,0.003504786,-1.0,0.0545,0.56,True,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.00061,240,0.2,0.003015471,-1.0,0.058,0.4593,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000804,240,0.2,0.002305637,-1.0,0.0554,0.3637,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.001092,240,0.2,0.001861743,-1.0,0.0489,0.325,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.001416,240,0.2,0.000971704,-1.0,0.0302,0.2624,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.00018,240,0.2,-1.0,0.74973262,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.0002,240,0.2,-1.0,0.974331551,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.00025,240,0.2,-1.0,0.986096257,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.0003,240,0.2,-1.0,0.99144385,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.00035,240,0.2,-1.0,0.995187166,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.00018,240,0.05,-1.0,0.93015873,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.0002,240,0.05,-1.0,0.94973545,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.00025,240,0.05,-1.0,0.975661376,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.0003,240,0.05,-1.0,0.987830688,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.00035,240,0.05,-1.0,0.995238095,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.00018,240,0.1,-1.0,0.927513228,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000254,280,0.2,0.000669061,-1.0,0.0079,0.56,True,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000294,280,0.2,0.002481913,-1.0,0.0366,0.56,True,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000337,280,0.2,0.003504786,-1.0,0.0545,0.56,True,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000402,280,0.2,0.003530027,-1.0,0.055,0.56,True,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000497,280,0.2,0.003751116,-1.0,0.0596,0.56,True,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000617,280,0.2,0.003791821,-1.0,0.0605,0.56,True,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.0008,280,0.2,0.002928096,-1.0,0.0631,0.42,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.001099,280,0.2,0.002400203,-1.0,0.0616,0.35,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.001278,280,0.2,0.001534342,-1.0,0.0399,0.32,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000225108,280,0.05,-1.0,-1.0,0.0,0.0,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000251082,280,0.05,-1.0,-1.0,0.0,0.0,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000285714,280,0.05,-1.0,-1.0,0.0,0.0,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000334199,280,0.05,-1.0,-1.0,0.0,0.0,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.0004,280,0.05,-1.0,-1.0,0.0,0.0,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000502165,280,0.05,-1.0,-1.0,0.0,0.0,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000644156,280,0.05,-1.0,-1.0,0.0,0.0,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000990476,280,0.05,-1.0,-1.0,0.0,0.0,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.001411255,280,0.05,-1.0,-1.0,0.0,0.0,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000242424,280,0.1,-1.0,-1.0,0.004472362,0.236398467,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000271861,280,0.1,-1.0,-1.0,0.004020101,0.236398467,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000309957,280,0.1,-1.0,-1.0,0.004773869,0.222605364,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000360173,280,0.1,-1.0,-1.0,0.005376884,0.188888889,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000436364,280,0.1,-1.0,-1.0,0.008241206,0.215708812,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000548918,280,0.1,-1.0,-1.0,0.010502513,0.215708812,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000715152,280,0.1,-1.0,-1.0,0.01201005,0.195019157,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.001014719,280,0.1,-1.0,-1.0,0.01201005,0.187356322,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.001494372,280,0.1,-1.0,-1.0,0.011708543,0.184291188,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000258009,280,0.15,-1.0,-1.0,0.011557789,0.446360153,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000290909,280,0.15,-1.0,-1.0,0.012462312,0.516858238,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000334199,280,0.15,-1.0,-1.0,0.018643216,0.460153257,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000393074,280,0.15,-1.0,-1.0,0.029346734,0.493103448,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000474459,280,0.15,-1.0,-1.0,0.02678392,0.460153257,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000599134,280,0.15,-1.0,-1.0,0.02678392,0.377394636,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.000772294,280,0.15,-1.0,-1.0,0.026633166,0.293103448,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.001032035,280,0.15,-1.0,-1.0,0.023316583,0.236398467,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.001314286,280,0.15,-1.0,-1.0,0.018492462,0.213409962,False,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.00018,280,0.2,-1.0,0.64973262,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.0002,280,0.2,-1.0,0.91657754,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.00025,280,0.2,-1.0,0.977540107,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.0003,280,0.2,-1.0,0.987165775,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.00035,280,0.2,-1.0,0.992513369,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.00018,280,0.05,-1.0,0.894708995,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.0002,280,0.05,-1.0,0.912169312,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.00025,280,0.05,-1.0,0.961375661,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.0003,280,0.05,-1.0,0.981481481,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.00035,280,0.05,-1.0,0.98994709,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
ye,0.00018,280,0.1,-1.0,0.898941799,-1.0,-1.0,-1,998.29,819.72,0.00102,0.00973,0.036,0.00975,0.2495
